Category,Message,Spam,Word_Count
spam,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",1,15
real,I plane to give on this month end.,0,8
real,Wah lucky man... Then can save money... Hee...,0,8
real,Finished class where are you.,0,5
real,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,0,10
real,K..k:)where are you?how did you performed?,0,6
real,U can call me now...,0,5
real,I am waiting machan. Call me once you free.,0,9
real,Thats cool. i am a gentleman and will treat you with dignity and respect.,0,14
real,I like you peoples very much:) but am very shy pa.,0,11
real,Does not operate after  &lt;#&gt;  or what,0,7
real,Its not the same here. Still looking for a job. How much do Ta's earn there.,0,16
real,"Sorry, I'll call later",0,4
real,K. Did you call me just now ah?,0,8
real,Ok i am on the way to home hi hi,0,10
real,You will be in the place of that man,0,9
real,Yup next stop.,0,3
real,"I call you later, don't have network. If urgnt, sms me.",0,11
real,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,0,26
real,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,0,31
real,I'm really not up to it still tonight babe,0,9
real,"Ela kano.,il download, come wen ur free..",0,7
real,Yeah do! Don‘t stand to close tho- you‘ll catch something!,0,10
real,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry.,0,39
real,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,0,26
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,1,23
real,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,0,20
spam,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",1,29
real,Watching telugu movie..wat abt u?,0,5
real,i see. When we finish we have loads of loans to pay,0,12
real,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""",0,38
real,I see a cup of coffee animation,0,7
real,Please don't text me anymore. I have nothing else to say.,0,11
real,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,0,21
real,I'm still looking for a car to buy. And have not gone 4the driving test yet.,0,16
real,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0,26
real,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",0,36
real,Umma my life and vava umma love you lot dear,0,10
real,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,0,17
real,"Aight, I'll hit you up when I get some cash",0,10
real,How would my ip address test that considering my computer isn't a minecraft server,0,14
real,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,0,24
real,Dont worry. I guess he's busy.,0,6
real,What is the plural of the noun research?,0,8
real,Going for dinner.msg you after.,0,5
real,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,0,24
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,1,27
real,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",0,24
real,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",0,32
spam,You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+),1,27
real,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed!,0,12
real,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,0,15
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,1,20
spam,"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",1,26
real,here is my new address -apples&pairs&all that malarky,0,8
spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,1,27
real,I am going to sao mu today. Will be done only at 12,0,13
real,Ü predict wat time ü'll finish buying?,0,7
real,"Good stuff, will do.",0,4
real,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",0,46
real,Are you there in room.,0,5
real,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,0,27
real,K..k:)how much does it cost?,0,5
real,I'm home.,0,2
real,"Dear, will call Tmorrow.pls accomodate.",0,5
real,First answer my question.,0,4
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,1,25
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,1,28
real,I only haf msn. It's yijue@hotmail.com,0,6
real,He is there. You call and meet him,0,8
real,No no. I will check all rooms befor activities,0,9
spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,1,32
real,Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...,0,20
real,"K, text me when you're on the way",0,8
real,"Sir, Waiting for your mail.",0,5
real,"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8",0,26
real,I know you are. Can you pls open the back?,0,10
real,Yes see ya not on the dot,0,7
real,Whats the staff name who is taking class for us?,0,10
spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",1,29
real,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,0,15
real,K..i deleted my contact that why?,0,6
real,Sindu got job in birla soft ..,0,7
real,The wine is flowing and i'm i have nevering..,0,9
real,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,0,15
real,Ok... Ur typical reply...,0,4
real,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0,26
real,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",0,80
real,Aaooooright are you at work?,0,5
real,I'm leaving my house now...,0,5
real,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",0,33
spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,1,19
spam,You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,1,27
real,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,0,24
real,New car and house for my parents.:)i have only new job in hand:),0,13
real,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,0,19
spam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,1,24
spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",1,30
real,I place all ur points on e cultures module already.,0,10
spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,1,27
real,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",0,13
real,Great escape. I fancy the bridge but needs her lager. See you tomo,0,13
real,Yes :)it completely in out of form:)clark also utter waste.,0,10
real,"Sir, I need AXIS BANK account no and bank address.",0,10
real,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao...",0,20
real,What time you coming down later?,0,6
real,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m...",0,21
real,"Well, i'm gonna finish my bath now. Have a good...fine night.",0,11
real,Let me know when you've got the money so carlos can make the call,0,14
real,U still going to the mall?,0,6
real,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",0,30
real,Text her. If she doesnt reply let me know so i can have her log in,0,16
real,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,0,25
real,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,0,31
real,Lol no. U can trust me.,0,6
real,ok. I am a gentleman and will treat you with dignity and respect.,0,13
real,"He will, you guys close?",0,5
real,Going on nothing great.bye,0,4
real,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,0,32
real,"Haha awesome, be there in a minute",0,7
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,1,24
real,Have you got Xmas radio times. If not i will get it now,0,13
real,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,0,19
spam,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,1,10
real,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,0,38
real,Hi :)finally i completed the course:),0,6
real,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,0,22
real,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,0,19
real,Gud mrng dear hav a nice day,0,7
real,Did u got that persons story,0,6
real,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt?,0,14
real,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,0,30
real,"Found it, ENC  &lt;#&gt; , where you at?",0,8
real,I sent you  &lt;#&gt;  bucks,0,5
real,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,0,18
real,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,0,26
real,Goodmorning sleeping ga.,0,3
real,U call me alter at 11 ok.,0,7
real,Ü say until like dat i dun buy ericsson oso cannot oredi lar...,0,13
real,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",0,32
real,"Aight yo, dats straight dogg",0,5
real,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,0,13
real,Both :) i shoot big loads so get ready!,0,9
real,"What's up bruv, hope you had a great break. Do have a rewarding semester.",0,14
real,Home so we can always chat,0,6
real,K:)k:)good:)study well.,0,2
real,Yup... How ü noe leh...,0,5
real,Sounds great! Are you home now?,0,6
real,Finally the match heading towards draw as your prediction.,0,9
real,Tired. I haven't slept well the past few nights.,0,9
real,Easy ah?sen got selected means its good..,0,7
real,I have to take exam with march 3,0,8
real,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,0,35
real,Ok no prob. Take ur time.,0,6
real,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,0,30
real,"Sorry, I'll call later",0,4
real,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,0,26
spam,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",1,21
real,Would really appreciate if you call me. Just need someone to talk to.,0,13
spam,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",1,30
real,Hey company elama po mudyadhu.,0,5
real,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",0,27
real,Dear good morning now only i am up,0,8
real,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,0,20
real,Dear we are going to our rubber place,0,8
real,"Sorry battery died, yeah I'm here",0,6
real,Yes:)here tv is always available in work place..,0,8
spam,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence,1,34
real,I have printed it oh. So  &lt;#&gt;  come upstairs,0,9
real,Or ill be a little closer like at the bus stop on the same street,0,15
real,Where are you?when wil you reach here?,0,7
real,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",0,27
spam,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,1,25
real,Tomarrow final hearing on my laptop case so i cant.,0,10
real,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx,0,7
real,"Okay. No no, just shining on. That was meant to be signing, but that sounds better.",0,16
real,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched...",0,32
real,U don't remember that old commercial?,0,6
real,Too late. I said i have the website. I didn't i have or dont have the slippers,0,17
real,I asked you to call him now ok,0,8
real,Kallis wont bat in 2nd innings.,0,6
real,It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.,0,30
spam,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,1,23
real,Ranjith cal drpd Deeraj and deepak 5min hold,0,8
real,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",0,34
real,What you doing?how are you?,0,5
real,"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff.",0,37
real,"I'm back, lemme know when you're ready",0,7
real,Don't necessarily expect it to be done before you get back though because I'm just now headin out,0,18
real,Mmm so yummy babe ... Nice jolt to the suzy,0,10
real,Where are you lover ? I need you ...,0,9
spam,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW,1,27
real,I‘m parked next to a MINI!!!! When are you coming in today do you think?,0,15
real,Yup,0,1
real,Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.,0,18
real,MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*,0,11
spam,Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698,1,25
real,Why you Dint come with us.,0,6
real,Same. Wana plan a trip sometme then,0,7
real,"Not sure yet, still trying to get a hold of him",0,11
spam,Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT,1,27
real,The evo. I just had to download flash. Jealous?,0,9
spam,Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.,1,24
real,"Come to mu, we're sorting out our narcotics situation",0,9
real,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay.",0,29
spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,1,25
real,"Usf I guess, might as well take 1 car",0,9
real,No objection. My bf not coming.,0,6
real,Thanx...,0,1
real,Tell rob to mack his gf in the theater,0,9
real,"Awesome, I'll see you in a bit",0,7
real,Just sent it. So what type of food do you like?,0,11
real,All done? All handed in? Celebrations in full swing yet?,0,10
real,You got called a tool?,0,5
real,"Wen u miss someone, the person is definitely special for u..... But if the person is so special, why to miss them, just Keep-in-touch gdeve..",0,25
real,Ok. I asked for money how far,0,7
real,Okie...,0,1
real,"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down",0,25
real,"K, I might come by tonight then if my class lets out early",0,13
real,Ok..,0,1
real,hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx,0,35
real,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-)..",0,33
real,"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense.",0,21
real,Hey you told your name to gautham ah?,0,8
real,Haf u found him? I feel so stupid da v cam was working.,0,13
real,Oops. 4 got that bit.,0,5
real,Are you this much buzy,0,5
real,I accidentally deleted the message. Resend please.,0,7
spam,T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply,1,29
real,Unless it's a situation where YOU GO GURL would be more appropriate,0,12
real,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL,0,35
real,I cant pick the phone right now. Pls send a message,0,11
real,Need a coffee run tomo?Can't believe it's that time of week already,0,12
real,"Awesome, I remember the last time we got somebody high for the first time with diesel :V",0,17
real,"Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?",0,31
real,Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight?,0,21
real,He is a womdarfull actor,0,5
spam,"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE",1,23
real,Yup... From what i remb... I think should be can book...,0,11
real,Jos ask if u wana meet up?,0,7
real,Lol yes. Our friendship is hanging on a thread cause u won't buy stuff.,0,14
spam,"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468",1,24
real,Where are the garage keys? They aren't on the bookshelf,0,10
real,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,0,24
spam,"Think ur smart ? Win £200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week",1,25
real,He says he'll give me a call when his friend's got the money but that he's definitely buying before the end of the week,0,24
real,"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost.",0,33
real,You made my day. Do have a great day too.,0,10
real,K.k:)advance happy pongal.,0,3
real,"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao...",0,24
real,"Not really dude, have no friends i'm afraid :(",0,9
spam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906,1,27
real,"Coffee cake, i guess...",0,4
real,"Merry Christmas to you too babe, i love ya *kisses*",0,10
real,Hey... Why dont we just go watch x men and have lunch... Haha,0,13
real,cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x,0,28
real,That would be great. We'll be at the Guild. Could meet on Bristol road or somewhere - will get in touch over weekend. Our plans take flight! Have a good week,0,31
real,No problem. How are you doing?,0,6
real,No calls..messages..missed calls,0,3
real,Hi da:)how is the todays class?,0,6
real,"I'd say that's a good sign but, well, you know my track record at reading women",0,16
real,"Cool, text me when you're parked",0,6
real,I'm reading the text i just sent you. Its meant to be a joke. So read it in that light,0,20
real,K.k:)apo k.good movie.,0,3
real,Maybe i could get book out tomo then return it immediately ..? Or something.,0,14
spam,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!,1,24
real,Any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer's paperwork. Not cool at all. Please do not contact me again or I will report you to your supervisor.,0,43
spam,Valentines Day Special! Win over £1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.,1,27
real,"Ta-Daaaaa! I am home babe, are you still up ?",0,10
real,Cool. So how come you havent been wined and dined before?,0,11
real,Just sleeping..and surfing,0,3
real,"Sorry, I'll call later",0,4
real,U calling me right? Call my hand phone...,0,8
real,Ok that's great thanx a lot.,0,6
real,I take it the post has come then! You must have 1000s of texts now! Happy reading. My one from wiv hello caroline at the end is my favourite. Bless him,0,31
real,Where u been hiding stranger?,0,5
real,Am not interested to do like that.,0,7
real,My sister cleared two round in birla soft yesterday.,0,9
real,Gudnite....tc...practice going on,0,3
real,Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my num.,0,20
real,One small prestige problem now.,0,5
spam,Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X,1,20
